family,Genus,species name,map_id_spp,IUCN red list category,IUCN_category_value,degree of restriction,weight_final,weight_standarized
Fabaceae,Abarema,Abarema cochliacarpos,spp 0431,,3,59.05,177.15,0.355
Malvaceae,Abutilon,Abutilon andrieuxii,spp 0308,,3,60.75,182.25,0.365
Malvaceae,Abutilon,Abutilon densiflorum,spp 0320,Least Concern,1,58.21,58.21,0.117
Malvaceae,Abutilon,Abutilon giganteum,spp 0310,Endangered,4,57.02,228.08,0.457
Malvaceae,Abutilon,Abutilon grandifolium,spp 0311,Least Concern,1,21.85,21.85,0.044
Malvaceae,Abutilon,Abutilon ibarrense,spp 0312,Least Concern,1,70.83,70.83,0.142
Fabaceae,Acacia,Acacia dealbata,spp 0439,,3,23.33,69.99,0.14
Fabaceae,Acacia,Acacia floribunda,spp 0930,Least Concern,1,86.58,86.58,0.174
Fabaceae,Acaciella,Acaciella angustissima,spp 0442,Least Concern,1,13.9,13.9,0.028
Fabaceae,Acaciella,Acaciella goldmanii,spp 0443,Least Concern,1,74.84,74.84,0.15
Fabaceae,Acaciella,Acaciella igualensis,spp 0444,Least Concern,1,60.37,60.37,0.121
Fabaceae,Acaciella,Acaciella villosa,spp 0445,Least Concern,1,77.87,77.87,0.156
Cactaceae,Acanthocereus,Acanthocereus fosterianus,spp 0084,Least Concern,1,90.11,90.11,0.181
Cactaceae,Acanthocereus,Acanthocereus hirschtianus,spp 0085,,3,99.61,298.83,0.599
Cactaceae,Acanthocereus,Acanthocereus tetragonus,spp 0086,Least Concern,1,59.99,59.99,0.12
Fabaceae,Acosmium,Acosmium cardenasii,spp 0446,Least Concern,1,33.85,33.85,0.068
Fabaceae,Albizia,Albizia carbonaria,spp 0455,Least Concern,1,18.66,18.66,0.037
Fabaceae,Albizia,Albizia multiflora,spp 0459,Least Concern,1,81.38,81.38,0.163
Fabaceae,Albizia,Albizia occidentalis,spp 0461,Least Concern,1,59.54,59.54,0.119
Fabaceae,Albizia,Albizia pistaciifolia,spp 0463,,3,29.3,87.9,0.176
Fabaceae,Albizia,Albizia polycephala,spp 0464,,3,53.87,161.61,0.324
Fabaceae,Amburana,Amburana cearensis,spp 0470,Endangered,4,56.57,226.28,0.453
Fabaceae,Anadenanthera,Anadenanthera colubrina,spp 0471,Least Concern,1,39.05,39.05,0.078
Fabaceae,Anadenanthera,Anadenanthera peregrina,spp 0473,Least Concern,1,27.97,27.97,0.056
Fabaceae,Andira,Andira anthelmia,spp 0474,Least Concern,1,26.09,26.09,0.052
Fabaceae,Andira,Andira cordata,spp 0475,Least Concern,1,33.65,33.65,0.067
Fabaceae,Andira,Andira cujabensis,spp 0476,Least Concern,1,13.88,13.88,0.028
Fabaceae,Andira,Andira fraxinifolia,spp 0477,Least Concern,1,34.15,34.15,0.068
Fabaceae,Andira,Andira humilis,spp 0478,Near Threatened,2,29.84,59.68,0.12
Fabaceae,Andira,Andira inermis,spp 0479,Least Concern,1,15.48,15.48,0.031
Fabaceae,Andira,Andira legalis,spp 0480,Least Concern,1,28.73,28.73,0.058
Fabaceae,Andira,Andira nitida,spp 0481,Least Concern,1,19.67,19.67,0.039
Fabaceae,Andira,Andira ormosioides,spp 0482,Least Concern,1,36.09,36.09,0.072
Fabaceae,Andira,Andira vermifuga,spp 0484,Least Concern,1,29.77,29.77,0.06
Malvaceae,Apeiba,Apeiba albiflora,spp 0313,Least Concern,1,11.74,11.74,0.024
Fabaceae,Apoplanesia,Apoplanesia paniculata,spp 0485,Least Concern,1,79.58,79.58,0.159
Cactaceae,Aporocactus,Aporocactus flagelliformis,spp 0087,Least Concern,1,20.27,20.27,0.041
Fabaceae,Apuleia,Apuleia leiocarpa,spp 0486,Least Concern,1,20.42,20.42,0.041
Cactaceae,Armatocereus,Armatocereus cartwrightianus,spp 0089,Least Concern,1,97.55,97.55,0.195
Fabaceae,Ateleia,Ateleia gummifera,spp 0487,Least Concern,1,34.57,34.57,0.069
Fabaceae,Ateleia,Ateleia herbert-smithii,spp 0488,Endangered,4,99.17,396.68,0.795
Cactaceae,Austrocylindropuntia,Austrocylindropuntia subulata,spp 0092,Least Concern,1,26.47,26.47,0.053
Malvaceae,Ayenia,Ayenia corchorifolia,spp 0323,,3,83.15,249.45,0.5
Malvaceae,Ayenia,Ayenia geminifolia,spp 0322,Least Concern,1,15.36,15.36,0.031
Malvaceae,Ayenia,Ayenia magna,spp 0316,Least Concern,1,65.36,65.36,0.131
Malvaceae,Ayenia,Ayenia micrantha,spp 0317,Least Concern,1,87.05,87.05,0.174
Malvaceae,Ayenia,Ayenia tomentosa,spp 0318,Least Concern,1,49.22,49.22,0.099
Malvaceae,Bakeridesia,Bakeridesia bakeriana,spp 0319,Endangered,4,54.6,218.4,0.438
Fabaceae,Balizia,Balizia pedicellaris,spp 0462,,3,28.12,84.36,0.169
Fabaceae,Barnebydendron,Barnebydendron riedelii,spp 0489,Vulnerable,3,27.1,81.3,0.163
Fabaceae,Bauhinia,Bauhinia aculeata,spp 0491,Least Concern,1,48.55,48.55,0.097
Fabaceae,Bauhinia,Bauhinia acuruana,spp 0492,Least Concern,1,52.77,52.77,0.106
