Presente_prop_lands,Presente_mean_spp,future_prop_lands_ANPs,future_mean_spp_ANPs,Future_prop_lands_NoAPs,Future_mean_spp_NoAPs
100,100.00,100.000,100.000,100.00,100.00
99.99,100.00,99.990,100.000,99.99,100.00
99.98,100.00,99.980,100.000,99.98,100.00
99.97,100.00,99.970,100.000,99.97,100.00
99.96,100.00,99.960,100.000,99.96,100.00
99.95,100.00,99.950,100.000,99.95,100.00
99.94,100.00,99.941,100.000,99.94,100.00
99.93,100.00,99.931,100.000,99.93,100.00
99.92,100.00,99.921,100.000,99.92,100.00
99.91,100.00,99.911,100.000,99.91,100.00
99.9,100.00,99.901,100.000,99.90,100.00
99.89,100.00,99.891,100.000,99.89,100.00
99.88,100.00,99.881,100.000,99.88,100.00
99.87,100.00,99.871,100.000,99.87,100.00
99.86,100.00,99.861,100.000,99.86,100.00
99.85,100.00,99.851,100.000,99.85,100.00
99.84,100.00,99.841,100.000,99.84,100.00
99.83,100.00,99.831,100.000,99.83,100.00
99.82,100.00,99.822,100.000,99.82,100.00
99.81,100.00,99.812,100.000,99.81,100.00
99.8,100.00,99.802,100.000,99.80,100.00
99.79,100.00,99.792,100.000,99.79,100.00
99.78,100.00,99.782,100.000,99.78,100.00
99.77,100.00,99.772,100.000,99.77,100.00
99.76,100.00,99.762,100.000,99.76,100.00
99.75,100.00,99.752,100.000,99.75,100.00
99.74,100.00,99.742,100.000,99.74,100.00
99.73,100.00,99.732,100.000,99.73,100.00
99.72,100.00,99.722,100.000,99.72,100.00
99.71,100.00,99.713,100.000,99.71,100.00
99.7,100.00,99.703,100.000,99.70,100.00
99.69,100.00,99.693,100.000,99.69,100.00
99.68,100.00,99.683,100.000,99.68,100.00
99.67,100.00,99.673,100.000,99.67,100.00
99.66,100.00,99.663,100.000,99.66,100.00
99.65,100.00,99.653,100.000,99.65,100.00
99.64,100.00,99.643,100.000,99.64,100.00
99.63,100.00,99.633,100.000,99.63,100.00
99.62,100.00,99.623,100.000,99.62,100.00
99.61,100.00,99.613,100.000,99.61,100.00
99.6,100.00,99.603,100.000,99.60,100.00
99.59,100.00,99.594,100.000,99.59,100.00
99.58,100.00,99.584,100.000,99.58,100.00
99.57,100.00,99.574,100.000,99.57,100.00
99.56,100.00,99.564,99.999,99.56,100.00
99.55,100.00,99.554,99.999,99.55,100.00
99.54,100.00,99.544,99.999,99.54,100.00
99.53,100.00,99.534,99.999,99.53,100.00
99.52,100.00,99.524,99.999,99.52,100.00
99.51,100.00,99.514,99.999,99.51,100.00
99.5,100.00,99.504,99.999,99.50,100.00
99.49,100.00,99.494,99.999,99.49,100.00
99.49,100.00,99.485,99.999,99.49,100.00
99.48,100.00,99.475,99.999,99.48,100.00
99.47,100.00,99.465,99.999,99.47,100.00
99.46,100.00,99.455,99.999,99.46,100.00
99.45,100.00,99.445,99.999,99.45,100.00
99.44,100.00,99.435,99.999,99.44,100.00
99.43,100.00,99.425,99.999,99.43,100.00
99.42,100.00,99.415,99.999,99.42,100.00
99.41,100.00,99.405,99.999,99.41,100.00
99.4,100.00,99.395,99.999,99.40,100.00
99.39,100.00,99.385,99.999,99.39,100.00
99.38,100.00,99.375,99.999,99.38,100.00
99.37,100.00,99.366,99.999,99.37,100.00
99.36,100.00,99.356,99.999,99.36,100.00
99.35,100.00,99.346,99.999,99.35,100.00
99.34,100.00,99.336,99.999,99.34,100.00
